case_id,role,citation_relevance,constraints_extraction,argument_validity
40,prosecution,4,4,4
40,defense,4,4,4
40,judge,4,4,4
40,prosecution,4,4,4
40,defense,4,2,3
40,judge,4,4,4
40,prosecution,4,4,4
40,defense,4,4,4
40,judge,4,4,4
125,prosecution,4,4,4
125,defense,4,3,4
125,judge,4,4,4
125,prosecution,4,4,3
125,defense,4,3,3
125,judge,4,4,4
125,prosecution,4,4,3
125,defense,4,4,4
125,judge,4,4,4
14,prosecution,4,4,4
14,defense,4,4,3
14,judge,4,3,4
14,prosecution,4,4,4
14,defense,4,4,3
14,judge,4,4,4
14,prosecution,4,4,4
14,defense,4,4,3
14,judge,4,4,4
183,prosecution,4,1,3
183,defense,4,4,4
183,judge,4,3,4
183,prosecution,4,1,4
183,defense,4,4,4
183,judge,4,1,4
183,prosecution,4,4,4
183,defense,4,4,4
183,judge,4,4,4
33,prosecution,4,3,4
33,defense,4,4,4
33,judge,4,4,4
33,prosecution,4,4,4
33,defense,4,2,2
33,judge,4,4,4
33,prosecution,4,4,4
33,defense,4,3,2
33,judge,4,3,4
159,prosecution,4,1,3
159,defense,4,4,4
159,judge,4,2,3
159,prosecution,4,4,4
159,defense,4,4,3
159,judge,4,2,3
159,prosecution,4,4,4
159,defense,4,3,3
159,judge,4,3,4
124,prosecution,4,1,2
124,defense,4,3,3
124,judge,4,4,4
124,prosecution,4,4,4
124,defense,4,1,3
124,judge,4,3,3
124,prosecution,4,2,3
124,defense,4,3,3
124,judge,4,4,4
135,prosecution,4,4,4
135,defense,4,4,4
135,judge,4,4,3
135,prosecution,4,4,4
135,defense,4,4,4
135,judge,4,4,4
135,prosecution,4,4,4
135,defense,4,4,3
135,judge,4,4,4
76,prosecution,4,3,4
76,defense,4,4,4
76,judge,4,3,3
76,prosecution,4,4,4
76,defense,4,3,3
76,judge,4,4,4
76,prosecution,4,3,4
76,defense,4,3,3
76,judge,4,3,3
132,prosecution,4,3,3
132,defense,4,4,4
132,judge,4,4,2
132,prosecution,4,4,4
132,defense,4,4,3
132,judge,4,4,3
132,prosecution,4,4,3
132,defense,4,4,3
132,judge,4,4,4
39,prosecution,2,3,3
39,defense,3,2,3
39,judge,3,3,3
39,prosecution,4,3,4
39,defense,3,3,3
39,judge,3,1,3
39,prosecution,3,2,3
39,defense,4,3,2
39,judge,3,3,3
21,prosecution,4,4,3
21,defense,4,3,4
21,judge,4,1,3
21,prosecution,4,4,4
21,defense,4,4,4
21,judge,4,2,3
21,prosecution,4,4,4
21,defense,4,3,3
21,judge,4,3,4
13,prosecution,4,4,4
13,defense,4,3,1
13,judge,4,4,4
13,prosecution,4,4,4
13,defense,4,2,2
13,judge,4,3,4
13,prosecution,4,4,4
13,defense,4,2,1
13,judge,4,4,4
80,prosecution,4,4,4
80,defense,4,2,3
80,judge,4,4,4
80,prosecution,4,4,4
80,defense,4,4,2
80,judge,4,4,4
80,prosecution,4,4,4
80,defense,4,3,2
80,judge,4,4,4
126,prosecution,4,4,4
126,defense,4,4,3
126,judge,4,4,4
126,prosecution,4,4,4
126,defense,4,4,4
126,judge,4,4,4
126,prosecution,4,3,3
126,defense,4,4,4
126,judge,4,4,4
46,prosecution,4,1,3
46,defense,4,4,4
46,judge,4,2,4
46,prosecution,4,4,4
46,defense,4,2,1
46,judge,4,1,2
46,prosecution,4,4,4
46,defense,4,3,3
46,judge,4,4,4
116,prosecution,4,4,4
116,defense,4,2,2
116,judge,4,4,4
116,prosecution,4,4,4
116,defense,4,2,2
116,judge,4,4,4
116,prosecution,4,4,4
116,defense,4,3,1
116,judge,4,4,4
93,prosecution,4,0,0
93,defense,4,3,3
93,judge,4,4,4
93,prosecution,4,4,4
93,defense,4,4,3
93,judge,4,3,3
93,prosecution,0,0,0
93,defense,4,4,2
93,judge,4,4,4
66,prosecution,4,3,4
66,defense,3,3,3
66,judge,4,4,4
66,prosecution,4,4,4
66,defense,4,4,4
66,judge,3,1,2
66,prosecution,4,2,3
66,defense,3,3,3
66,judge,4,4,4
64,prosecution,4,0,0
64,defense,4,4,4
64,judge,4,4,4
64,prosecution,4,4,4
64,defense,4,4,4
64,judge,4,4,4
64,prosecution,4,4,4
64,defense,4,4,4
64,judge,4,3,3
156,prosecution,4,0,0
156,defense,4,3,4
156,judge,4,3,4
156,prosecution,4,4,4
156,defense,4,4,4
156,judge,4,4,4
156,prosecution,4,4,4
156,defense,4,4,4
156,judge,4,4,4
22,prosecution,4,3,2
22,defense,4,4,4
22,judge,4,4,4
22,prosecution,4,2,2
22,defense,4,3,4
22,judge,4,4,4
22,prosecution,4,4,3
22,defense,4,3,3
22,judge,4,2,2
24,prosecution,4,1,3
24,defense,3,3,3
24,judge,4,3,4
24,prosecution,4,3,3
24,defense,4,3,3
24,judge,4,4,4
24,prosecution,0,0,0
24,defense,4,4,4
24,judge,4,4,4
60,prosecution,0,0,0
60,defense,2,3,3
60,judge,4,4,4
60,prosecution,3,4,4
60,defense,4,2,3
60,judge,4,3,4
60,prosecution,4,4,4
60,defense,4,3,3
60,judge,4,3,4
59,prosecution,0,0,0
59,defense,4,2,3
59,judge,4,3,4
59,prosecution,4,4,4
59,defense,4,4,1
59,judge,4,3,4
59,prosecution,4,4,4
59,defense,4,4,4
59,judge,4,4,4
107,prosecution,0,0,0
107,defense,4,3,4
107,judge,4,4,4
107,prosecution,4,4,4
107,defense,4,4,4
107,judge,4,4,4
107,prosecution,3,3,2
107,defense,4,4,4
107,judge,4,4,4
31,prosecution,4,3,4
31,defense,4,4,3
31,judge,4,4,4
31,prosecution,4,2,3
31,defense,4,4,4
31,judge,4,4,4
31,prosecution,4,3,4
31,defense,4,2,3
31,judge,4,3,3
142,prosecution,4,3,3
142,defense,1,0,0
142,judge,2,1,1
142,prosecution,3,3,3
142,defense,3,3,3
142,judge,3,4,4
142,prosecution,3,1,2
142,defense,4,3,3
142,judge,4,4,4
81,prosecution,4,2,2
81,defense,4,4,4
81,judge,4,4,4
81,prosecution,4,4,4
81,defense,4,4,2
81,judge,4,4,4
81,prosecution,4,4,4
81,defense,4,2,2
81,judge,4,3,3
139,prosecution,4,3,4
139,defense,4,3,2
139,judge,4,4,4
139,prosecution,4,3,3
139,defense,4,2,2
139,judge,4,3,4
139,prosecution,4,4,4
139,defense,4,3,2
139,judge,4,4,4
150,prosecution,4,4,4
150,defense,4,4,3
150,judge,4,3,4
150,prosecution,4,4,4
150,defense,4,3,3
150,judge,4,4,4
150,prosecution,4,4,4
150,defense,4,4,4
150,judge,4,4,4
91,prosecution,4,4,4
91,defense,4,4,4
91,judge,4,2,3
91,prosecution,4,3,3
91,defense,4,4,4
91,judge,4,4,4
91,prosecution,4,4,3
91,defense,4,4,3
91,judge,4,3,4
176,prosecution,4,3,4
176,defense,4,4,4
176,judge,4,4,4
176,prosecution,4,4,4
176,defense,4,4,4
176,judge,4,4,4
176,prosecution,4,2,3
176,defense,4,4,4
176,judge,4,4,4
87,prosecution,4,3,4
87,defense,4,3,3
87,judge,4,3,4
87,prosecution,0,0,0
87,defense,3,3,3
87,judge,4,2,3
87,prosecution,4,4,4
87,defense,4,4,3
87,judge,4,4,4
171,prosecution,4,4,4
171,defense,4,3,3
171,judge,4,4,4
171,prosecution,4,4,4
171,defense,4,4,4
171,judge,4,4,4
171,prosecution,4,3,4
171,defense,4,4,4
171,judge,4,4,4
16,prosecution,4,4,4
16,defense,3,3,4
16,judge,4,4,4
16,prosecution,4,4,4
16,defense,4,3,4
16,judge,4,4,4
16,prosecution,4,4,4
16,defense,4,4,4
16,judge,4,4,4
102,prosecution,4,4,4
102,defense,4,4,4
102,judge,4,4,3
102,prosecution,4,4,4
102,defense,4,2,3
102,judge,4,3,4
102,prosecution,4,2,3
102,defense,4,4,3
102,judge,4,4,4
179,prosecution,4,4,4
179,defense,4,3,4
179,judge,4,3,3
179,prosecution,4,4,4
179,defense,3,2,3
179,judge,4,4,4
179,prosecution,4,4,4
179,defense,4,4,3
179,judge,4,4,4
120,prosecution,4,4,4
120,defense,4,3,4
120,judge,4,4,4
120,prosecution,4,4,4
120,defense,4,3,4
120,judge,4,3,3
120,prosecution,4,4,4
120,defense,4,3,3
120,judge,4,4,4
7,prosecution,4,4,4
7,defense,4,4,4
7,judge,4,4,4
7,prosecution,4,4,4
7,defense,4,4,4
7,judge,4,4,4
7,prosecution,4,4,4
7,defense,4,3,3
7,judge,4,3,4
104,prosecution,4,3,3
104,defense,4,4,4
104,judge,4,3,3
104,prosecution,4,4,4
104,defense,4,3,3
104,judge,4,3,4
104,prosecution,4,3,4
104,defense,4,4,4
104,judge,4,3,4
119,prosecution,0,0,0
119,defense,4,4,4
119,judge,4,4,4
119,prosecution,4,4,4
119,defense,3,3,3
119,judge,4,4,4
119,prosecution,4,4,4
119,defense,4,4,4
119,judge,4,4,4
38,prosecution,0,0,0
38,defense,4,3,3
38,judge,4,3,4
38,prosecution,4,4,3
38,defense,4,4,4
38,judge,4,3,4
38,prosecution,4,2,2
38,defense,4,4,4
38,judge,4,4,4
189,prosecution,4,3,4
189,defense,4,2,3
189,judge,4,4,4
189,prosecution,4,4,4
189,defense,4,4,4
189,judge,4,3,4
189,prosecution,4,4,4
189,defense,4,4,4
189,judge,4,4,4
61,prosecution,4,4,4
61,defense,4,2,4
61,judge,4,4,3
61,prosecution,4,2,3
61,defense,4,4,4
61,judge,4,3,4
61,prosecution,4,4,4
61,defense,4,4,4
61,judge,4,4,4
26,prosecution,4,4,4
26,defense,4,3,3
26,judge,4,3,3
26,prosecution,4,3,4
26,defense,4,2,3
26,judge,4,1,3
26,prosecution,4,1,2
26,defense,4,3,3
26,judge,4,4,4
47,prosecution,4,4,4
47,defense,4,4,4
47,judge,4,4,4
47,prosecution,4,4,4
47,defense,4,3,4
47,judge,4,4,4
47,prosecution,4,4,4
47,defense,4,3,4
47,judge,4,4,4
84,prosecution,4,4,4
84,defense,4,4,4
84,judge,4,4,4
84,prosecution,4,4,4
84,defense,3,3,3
84,judge,4,3,4
84,prosecution,4,4,4
84,defense,4,3,2
84,judge,4,4,4
188,prosecution,4,4,4
188,defense,4,4,4
188,judge,4,4,4
188,prosecution,4,4,4
188,defense,4,4,3
188,judge,4,4,4
188,prosecution,4,4,4
188,defense,4,2,3
188,judge,4,4,4
94,prosecution,0,0,0
94,defense,4,4,4
94,judge,4,4,4
94,prosecution,4,4,4
94,defense,3,4,4
94,judge,4,4,4
94,prosecution,4,4,4
94,defense,4,4,4
94,judge,4,2,4
134,prosecution,4,4,4
134,defense,4,3,3
134,judge,4,3,3
134,prosecution,4,4,4
134,defense,4,4,3
134,judge,4,4,4
134,prosecution,4,4,4
134,defense,4,4,4
134,judge,4,4,4
99,prosecution,4,2,4
99,defense,4,3,4
99,judge,4,4,4
99,prosecution,4,4,4
99,defense,4,4,4
99,judge,4,4,4
99,prosecution,4,4,3
99,defense,4,3,3
99,judge,4,4,4
187,prosecution,4,2,3
187,defense,4,4,4
187,judge,4,4,4
187,prosecution,4,4,4
187,defense,4,3,3
187,judge,4,4,4
187,prosecution,4,4,4
187,defense,4,3,2
187,judge,4,4,4
43,prosecution,4,3,4
43,defense,4,4,4
43,judge,4,4,4
43,prosecution,4,4,4
43,defense,4,4,4
43,judge,4,4,4
43,prosecution,4,3,3
43,defense,4,4,3
43,judge,4,4,4
180,prosecution,4,4,4
180,defense,4,2,3
180,judge,4,4,4
180,prosecution,4,4,4
180,defense,4,4,4
180,judge,4,4,4
180,prosecution,4,3,3
180,defense,4,4,4
180,judge,4,4,4
190,prosecution,4,4,4
190,defense,4,4,3
190,judge,4,4,4
190,prosecution,4,4,4
190,defense,4,4,4
190,judge,4,2,3
190,prosecution,4,4,3
190,defense,4,4,4
190,judge,4,4,4
114,prosecution,4,4,4
114,defense,4,4,4
114,judge,4,4,4
114,prosecution,4,4,2
114,defense,4,4,4
114,judge,4,4,4
114,prosecution,4,2,2
114,defense,4,4,4
114,judge,4,4,4
131,prosecution,4,2,2
131,defense,4,4,4
131,judge,4,4,4
131,prosecution,4,3,3
131,defense,4,4,4
